0.001,100,0.10439,0.01203,0.00868
0.005,100,0.43226,0.04573,0.02983
0.01,100,0.69512,0.06861,0.03878
0.05,100,1.08997,0.11201,0.01800
0.1,100,1.09643,0.12436,0.00566
0.5,100,1.09646,0.12862,0.00140
1,100,1.09646,0.12862,0.00140
5,100,1834297169332012830221661391493582310185529393853905430433745014718726144.00000,-1857234780657229363606935678845205475742589198235014689742398031533124740656646471024640.00000,-1857234780657229584462818776143246673654776791099829168177885140985494505857421632602112.00000
10,100,1361763492899241805152196263815612499986779315455059689002264350638811172065346925935081812887248914350080.00000,-1306120657185960041864683709890056758386568028014294834748191975157186040489905512960897796294010899066834430568385478656.00000,-1306120657185960041864683709890056758386568028014294834748191975157186040489905512960897796294010899066834430568385478656.00000
0.08,1000,1.09646,0.12862,0.00140
